pair,acronym,description,frequency
"('IT', 'irrigador transanal')",IT,irrigador transanal,1
"('XC', 'x-collar')",XC,x-collar,1
"('AE', 'autoextracción')",AE,autoextracción,1
"('VIH', 'virus de la immunodeficiencia humana')",VIH,virus de la immunodeficiencia humana,1
"('SN', 'stifneck')",SN,stifneck,1
"('NNIS', 'nosocomial infection surveillance')",NNIS,nosocomial infection surveillance,1
